Community_Symbol	BRC4_Community_Symbol
Community_Annotation	BRC4_Community_Annotation
EntrezGene	EntrezGene
NCBI protein db	protein_id
PubMed	PUBMED
#
GenBank	GenBank
GB	GenBank
GB_protein	protein_id
REFSEQ	RefSeq
EntrezGene	EntrezGene
#
GO	GO
!GO	GO
SO	SO
#
Uniprot	UniProtKB_all
UniProt/Swiss-Prot	Uniprot/SWISSPROT
UniProt/TrEMBL	Uniprot/SPTREMBL
PDB	PDB
INTERPRO	Interpro
#
RFAM	RFAM
Rfam	RFAM
MIR	miRBase
RNAcentral	RNAcentral
#
EPD	EPD
#
GenomeRNAi	GenomeRNAi
#
MEROPS	MEROPS
#
FlyBase	flybase_annotation_id
FlyBaseName_gene	FlyBaseName_gene
FlyBaseName_transcript	FlyBaseName_transcript
FlyBaseName_translation	FlyBaseName_translation
flybase_gene_id	flybase_gene_id
flybase_transcript_id	flybase_transcript_id
flybase_translation_id	flybase_translation_id
FlyBase_Annotation_IDs	flybase_annotation_id
#
FlyReactome	FlyReactome
#
iBeetle-Base	_IGNORE_
TF	_IGNORE_
# TransFac?
GI	_IGNORE_
Fly-FISH	_IGNORE_
KEGG_GENES	_IGNORE_
BDGP_clone	_IGNORE_
SignaLink	_IGNORE_
NRL_3D	_IGNORE_
